TAG,DUPLICATION TEXT,NUMBER OF DUPLICATION,URL
TITLE,US State Bills Summary,4,"#
http://www.asiainspection.com/regulatory-updates/August-2017/aug2017-us-state-bills-summary
https://www.asiainspection.com/regulatory-updates/August-2017/aug2017-us-state-bills-summary
https://www.asiainspection.com/regulatory-updates/May-2017/may2017-state-bills-summary
http://www.asiainspection.com/regulatory-updates/May-2017/may2017-state-bills-summary"
TITLE,AsiaInspection Conditions of Service,3,"#
https://www.asiainspection.com/conditions-of-service
https://www.asiainspection.com/conditions-of-service#privacyPolicy_8.1
http://www.asiainspection.com/conditions-of-service"
TITLE,Careers | AsiaInspection.com,3,"#
http://www.asiainspection.com/job-application
https://www.asiainspection.com/career-opportunities
http://www.asiainspection.com/career-opportunities"
TITLE,Laboratory Testing | Product & Material Testing - ISO 17025 Accredited | AsiaInspection,3,"#
https://www.asiainspection.com/quality-control-services/laboratory-testing
https://www.asiainspection.com/laboratory-testing
http://www.asiainspection.com/quality-control-services/laboratory-testing"
TITLE,Supply Chain Insights - Whitepapers & Articles from Industry Experts,3,"#
http://www.asiainspection.com/supply-chain-insights
https://www.asiainspection.com/whitepapers
https://www.asiainspection.com/supply-chain-insights"
TITLE,2 & 4 Pillar SMETA Audits – Sedex Members Ethical Trade Audit | Reports & Best Practices Guidance,2,"#
http://www.asiainspection.com/smeta-audit
https://www.asiainspection.com/smeta-audit"
TITLE,"2,000 Modern Slave Laborers Released from Thai Fish Industry | AsiaInspection News",2,"#
https://www.asiainspection.com/asia-inspection-news/Modern_Day_Slavery
http://www.asiainspection.com/asia-inspection-news/Modern_Day_Slavery"
TITLE,"2014 Q1 – Manufacturing & Audit Industry News: China Exports, Sourcing Growth in Africa & More",2,"#
https://www.asiainspection.com/asia-inspection-news/2014-q1-barometer-china-exports-all-time-high
http://www.asiainspection.com/asia-inspection-news/2014-q1-barometer-china-exports-all-time-high"
TITLE,"2014 Q2 – Manufacturing & Audit Industry News: Industrial Disputes in China, Azo Dye Screening & More",2,"#
https://www.asiainspection.com/asia-inspection-news/2014-q2-barometer-riots-strikes-and-toxic-products
http://www.asiainspection.com/asia-inspection-news/2014-q2-barometer-riots-strikes-and-toxic-products"
TITLE,"2014 Q4 – Manufacturing & Audit Industry News: China Food Safety Scandals, Unsafe Working Conditions & More",2,"#
http://www.asiainspection.com/asia-inspection-news/2014-q4-barometer-china-food-fears
https://www.asiainspection.com/asia-inspection-news/2014-q4-barometer-china-food-fears"
TITLE,"2015 Q1 – Manufacturing & Audit Industry News: Child Labor, Safety for Workers & More Trends from 2014",2,"#
https://www.asiainspection.com/asia-inspection-news/2015-q1-barometer-cheap-labor-quality-trends
http://www.asiainspection.com/asia-inspection-news/2015-q1-barometer-cheap-labor-quality-trends"
TITLE,"2015 Q2 – Manufacturing & Audit Industry News: G7 Summit Focus - Sustainable & Ethical Global Supply Chain, Food Scandals & More",2,"#
https://www.asiainspection.com/asia-inspection-news/2015-q2-barometer-68-million-children
http://www.asiainspection.com/asia-inspection-news/2015-q2-barometer-68-million-children"
TITLE,"2015 Q3 – Manufacturing & Audit Industry News: Southeast Asia Economic Growth, Food Violations & More",2,"#
http://www.asiainspection.com/asia-inspection-news/2015-q3-southeast-asia-growth-staggering
https://www.asiainspection.com/asia-inspection-news/2015-q3-southeast-asia-growth-staggering"
TITLE,"2015 Q4 – Manufacturing & Audit Industry News: CSR in Bangladesh, China’s New Food Safety Law & More",2,"#
https://www.asiainspection.com/asia-inspection-news/2015-q4-ethical-compliance-harder-to-hide
http://www.asiainspection.com/asia-inspection-news/2015-q4-ethical-compliance-harder-to-hide"
TITLE,"2016 Q1 – Manufacturing & Audit Industry News: Exploding Hoverboards, Product Safety in China & Growing Ethical Concerns ",2,"#
https://www.asiainspection.com/asia-inspection-news/2016-q1-exploding-hoverboards-and-growing-ethical-concerns
http://www.asiainspection.com/asia-inspection-news/2016-q1-exploding-hoverboards-and-growing-ethical-concerns"
TITLE,2016 Q2 – Manufacturing & Audit Industry News: Supply Chains Plagued by Forced Labor & Structural Risks,2,"#
https://www.asiainspection.com/asia-inspection-news/2016-q2-structural-risks-plague-global-supply-chains
http://www.asiainspection.com/asia-inspection-news/2016-q2-structural-risks-plague-global-supply-chains"
TITLE,"2016 Q3 – Manufacturing & Audit Industry News: Asia Pacific Unfazed by Global Trade Uncertainty, Apparel Supply Chains Struggle with Responsible Sourcing",2,"#
https://www.asiainspection.com/asia-inspection-news/2016-q3-Apparel-Supply-Chains-Struggle-with-Responsible-Sourcing
http://www.asiainspection.com/asia-inspection-news/2016-q3-Apparel-Supply-Chains-Struggle-with-Responsible-Sourcing"
TITLE,2016 Q4 – Manufacturing & Audit Industry News: China Growth Stabilizing as Exploding Batteries and Factory Fires Plague Supply Chains,2,"#
http://www.asiainspection.com/asia-inspection-news/2016-q4-china-growth-stabilizing-factory-fires-plague-supply-chains
https://www.asiainspection.com/asia-inspection-news/2016-q4-china-growth-stabilizing-factory-fires-plague-supply-chains"
TITLE,2017 Q1 – Manufacturing & Audit Industry News: Worrying Trends for Quality & Compliance Across Global Supply Chains,2,"#
https://www.asiainspection.com/asia-inspection-news/2017-q1-worrying-trends-for-global-supply-chains
http://www.asiainspection.com/asia-inspection-news/2017-q1-worrying-trends-for-global-supply-chains"
TITLE,2017 Q2 – Manufacturing & Audit Industry News: Product Quality Issues & Ethical Challenges in 2017,2,"#
http://www.asiainspection.com/asia-inspection-news/2017-q2-product-quality-issues-and-ethical-challenges
https://www.asiainspection.com/asia-inspection-news/2017-q2-product-quality-issues-and-ethical-challenges"
TITLE,5 Reasons Why Millennial-Focused Brands Cannot Afford to Ignore Social Responsibility | AsiaInspection – Whitepaper,2,"#
http://www.asiainspection.com/whitepaper/5-Reasons-Why-Millennial-Focused-Brands-Cannot-Afford-to-Ignore-Social-Responsibility
https://www.asiainspection.com/whitepaper/5-Reasons-Why-Millennial-Focused-Brands-Cannot-Afford-to-Ignore-Social-Responsibility"
TITLE,AI Ethical Compliance Conference | AsiaInspection,2,"#
https://www.asiainspection.com/aiecc-2017
http://www.asiainspection.com/aiecc-2017"
TITLE,AI Site Map,2,"#
http://www.asiainspection.com/asia-inspection-site-map
https://www.asiainspection.com/asia-inspection-site-map"
TITLE,AI Technical Update: How to Avoid Mold in Your Garments,2,"#
http://www.asiainspection.com/whitepaper/preventing-mold
https://www.asiainspection.com/whitepaper/preventing-mold"
TITLE,AQL Acceptable Quality Limit - Sampling Table | AQL Standard | AsiaInspection,2,"#
https://www.asiainspection.com/aql-acceptable-quality-limit
http://www.asiainspection.com/aql-acceptable-quality-limit"
TITLE,ASTM Changes Summary Related to Candle Accessories: ASTM F2601-16a,2,"#
https://www.asiainspection.com/regulatory-updates/September-2016/astm-summary-candles
http://www.asiainspection.com/regulatory-updates/September-2016/astm-summary-candles"
TITLE,ASTM F963-16 Toy Safety Standard | AsiaInspection,2,"#
http://www.asiainspection.com/astm-f963-16-toy-safety-standard
https://www.asiainspection.com/astm-f963-16-toy-safety-standard"
TITLE,ASTM F963-16 Update Summary,2,"#
http://www.asiainspection.com/regulatory-updates/November-2016/nov2016-astm-update-summary
https://www.asiainspection.com/regulatory-updates/November-2016/nov2016-astm-update-summary"
TITLE,ASTM Standard Updates Summary - June 2016,2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/updates-astm-standards
https://www.asiainspection.com/regulatory-updates/June-2016/updates-astm-standards"
TITLE,ASTM Standard Updates Summary - May 2016,2,"#
https://www.asiainspection.com/regulatory-updates/May-2016/updates-of-astm-standards
http://www.asiainspection.com/regulatory-updates/May-2016/updates-of-astm-standards"
TITLE,ASTM Standards Update Summary - August 2016,2,"#
http://www.asiainspection.com/regulatory-updates/August-2016/astm-standards
https://www.asiainspection.com/regulatory-updates/August-2016/astm-standards"
TITLE,ASTM Standards Updates Summary - March 2016,2,"#
https://www.asiainspection.com/regulatory-updates/March-2016/updates-astm
http://www.asiainspection.com/regulatory-updates/March-2016/updates-astm"
TITLE,"Accreditations from Regulatory Bodies & International Standards (for lab testing, audits,  inspections)",2,"#
https://www.asiainspection.com/accreditations
http://www.asiainspection.com/accreditations"
TITLE,"Albany County Toxic Free Toys Act Becomes Effective July 1, 2016",2,"#
https://www.asiainspection.com/regulatory-updates/June-2016/albany-toxic-free-toys-act
http://www.asiainspection.com/regulatory-updates/June-2016/albany-toxic-free-toys-act"
TITLE,Apparel & Garment Quality Control Testing | Textile Testing Labs ,2,"#
http://www.asiainspection.com/testing/garments-apparel
https://www.asiainspection.com/testing/garments-apparel"
TITLE,"Are Supply Chains Truly Ready to Go ""Beyond"" Audits?",2,"#
http://www.asiainspection.com/whitepaper/supply-chains-beyond-audits
https://www.asiainspection.com/whitepaper/supply-chains-beyond-audits"
TITLE,AsiaInspection - Company Values & Corporate Culture,2,"#
http://www.asiainspection.com/corporate-values
https://www.asiainspection.com/corporate-values"
TITLE,"AsiaInspection Has Acquired ETIC, a State-of-the-Art Eyewear Testing Facility in Hong Kong | AsiaInspection News",2,"#
https://www.asiainspection.com/asia-inspection-news/ETICAcquisition
http://www.asiainspection.com/asia-inspection-news/ETICAcquisition"
TITLE,"AsiaInspection Has Acquired Produce Inspectors of America (PIA), the Leader in Berry Inspections | AsiaInspection News",2,"#
http://www.asiainspection.com/asia-inspection-news/PIAAcquisition
https://www.asiainspection.com/asia-inspection-news/PIAAcquisition"
TITLE,"AsiaInspection Q3 Barometer: Quality, Safety, Ethics in Supply Chains",2,"#
http://www.asiainspection.com/asia-inspection-news/2017-q3-supply-chains-struggle
https://www.asiainspection.com/asia-inspection-news/2017-q3-supply-chains-struggle"
TITLE,AsiaInspection Quality Control Mobile App - Manage Supply Chain Reports On The Go,2,"#
http://www.asiainspection.com/mobile
https://www.asiainspection.com/mobile"
TITLE,AsiaInspection Services: Quality Control Pricing | AsiaInspection,2,"#
http://www.asiainspection.com/quality-control-pricing
https://www.asiainspection.com/quality-control-pricing"
TITLE,Australia ACCC Extends Ban on Unsafe Self-Balancing Scooters - June 2016,2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/australia-interim-ban
https://www.asiainspection.com/regulatory-updates/June-2016/australia-interim-ban"
TITLE,Australia ACCC Mandates Safety Standards for Hoverboards,2,"#
https://www.asiainspection.com/regulatory-updates/August-2016/australia-hoverboards-safety
http://www.asiainspection.com/regulatory-updates/August-2016/australia-hoverboards-safety"
TITLE,Australia ACCC Publishes Guidance Document for Safety of Button Cell Containing Products,2,"#
https://www.asiainspection.com/regulatory-updates/August-2016/australia-safety-button-cell-products
http://www.asiainspection.com/regulatory-updates/August-2016/australia-safety-button-cell-products"
TITLE,Australia ACCC Publishes Penalties for Non-Compliant Children’s Nightwear,2,"#
http://www.asiainspection.com/regulatory-updates/September-2016/australia-penalties-childrens-nightwear
https://www.asiainspection.com/regulatory-updates/September-2016/australia-penalties-childrens-nightwear"
TITLE,Australia Imposes 60 Day Interim Ban on the Supply of Unsafe Self-balancing Scooters,2,"#
https://www.asiainspection.com/regulatory-updates/April-2016/australia-60-day-ban
http://www.asiainspection.com/regulatory-updates/April-2016/australia-60-day-ban"
TITLE,"Australia Toys Standards AS/NZS ISO 8124 Part 1, 2 and 3 Updates",2,"#
https://www.asiainspection.com/regulatory-updates/August-2016/australia-toys-standards
http://www.asiainspection.com/regulatory-updates/August-2016/australia-toys-standards"
TITLE,Ban Notice for Certain Alcohol Fueled Burners,2,"#
https://www.asiainspection.com/regulatory-updates/February-2017/feb2017-ban-alcohol-fueled-burners
http://www.asiainspection.com/regulatory-updates/February-2017/feb2017-ban-alcohol-fueled-burners"
TITLE,Bangladesh Ethical Audit Report Example | AsiaInspection – Inspection Sample Reports,2,"#
http://www.asiainspection.com/samplereport/bangladesh-audit-report
https://www.asiainspection.com/samplereport/bangladesh-audit-report"
TITLE,"Beverage Quality Control - Testing, Audits & Inspections | AsiaInspection – Safety Standards Compliance ",2,"#
http://www.asiainspection.com/testing/beverage-quality-control
https://www.asiainspection.com/testing/beverage-quality-control"
TITLE,Bill A5612A Passes Assembly & Moves to Senate as Bill S7507 - Reporting & Prohibition of Children's Products Containing Priority Chemicals,2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/new-york-childrens-products
https://www.asiainspection.com/regulatory-updates/June-2016/new-york-childrens-products"
TITLE,Bill A9959 to Propose Labeling Requirement for Small Lithium Batteries - US State New York Assembly,2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/new-york-lithium-batteries
https://www.asiainspection.com/regulatory-updates/June-2016/new-york-lithium-batteries"
TITLE,"Brazil INMETRO Approves Restriction on Toys, Including ""AquaDots"" & ""Bindeez"", Containing 1,4-Butanediol",2,"#
https://www.asiainspection.com/regulatory-updates/April-2016/brazil-toy-restrictions
http://www.asiainspection.com/regulatory-updates/April-2016/brazil-toy-restrictions"
TITLE,C-TPAT Audit - Customs-Trade Partnership Against Terrorism | Supply Chain Security,2,"#
https://www.asiainspection.com/c-tpat-compliance
http://www.asiainspection.com/c-tpat-compliance"
TITLE,C-TPAT Audit Report Sample – Supply Chain Risk Assessment | AsiaInspection,2,"#
http://www.asiainspection.com/samplereport/c-tpat-audit
https://www.asiainspection.com/samplereport/c-tpat-audit"
TITLE,CA Proposition 65 Compliance – Requirements & Testing | AI,2,"#
https://www.asiainspection.com/cal-prop-65-compliance-testing
http://www.asiainspection.com/cal-prop-65-compliance-testing"
TITLE,CCPSA Regulation Amendment Summary,2,"#
https://www.asiainspection.com/regulatory-updates/August-2016/ccpsa-regulation-amendment
http://www.asiainspection.com/regulatory-updates/August-2016/ccpsa-regulation-amendment"
TITLE,CEN Publishes Updated EN Standard Related to N-Nitrosamines and N-Nitrosatable Substances,2,"#
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-cen-updated-standard-nitrosamines
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-cen-updated-standard-nitrosamines"
TITLE,CPSC Addresses Self-Balancing Scooters,2,"#
https://www.asiainspection.com/regulatory-updates/March-2016/self-balancing-scooters
http://www.asiainspection.com/regulatory-updates/March-2016/self-balancing-scooters"
TITLE,CPSC Approves Enforcement Discretion on Adult Wearing Apparel,2,"#
https://www.asiainspection.com/regulatory-updates/March-2016/enforcement-discretion
http://www.asiainspection.com/regulatory-updates/March-2016/enforcement-discretion"
TITLE,CPSC Votes for Proposed Rule Making to Exempt Certain Plastics from Phthalates Testing,2,"#
https://www.asiainspection.com/regulatory-updates/August-2016/cpsc-plastics-testing
http://www.asiainspection.com/regulatory-updates/August-2016/cpsc-plastics-testing"
TITLE,"CPSIA - Testing Consumer Products for Hazardous Materials | Phthalates, Lead Paint & More | AsiaInspection",2,"#
https://www.asiainspection.com/cpsia-testing
http://www.asiainspection.com/cpsia-testing"
TITLE,California OEHHA Adds New Chemicals to Proposition 65 List,2,"#
http://www.asiainspection.com/regulatory-updates/August-2016/california-chemicals-prop-65
https://www.asiainspection.com/regulatory-updates/August-2016/california-chemicals-prop-65"
